,ca_au,ca_nz,ca_uk,ca_us,au_nz,au_uk,au_us,nz_uk,nz_us,uk_us,mixed_ca,mixed_au,mixed_nz,mixed_uk,mixed_us,za_mixed,za_ca,za_au,za_nz,za_uk,za_us,base_mixed,base_ca,base_au,base_nz,base_uk,base_us,base_za
24,6.086115790994191,5.685440343391401,6.969282787354716,1.4971052263885756,6.010086343669914,4.16379927212513,6.897762684288599,3.0677498750066166,5.010557752550251,6.915863033852924,1.9641251972651628,4.2753095017803275,5.391805208860192,5.782097834527103,3.103166726803183,5.776052560004094,5.32140354315144,7.706538478851397,2.270511958782202,5.27137077690375,4.158729756220519,26.143398302334173,25.649272037054843,25.8432884451512,25.521381175181507,26.2486972608194,25.44339144369537,25.79926399972492
25,6.502188431225619,1.6224519256310608,4.224641435228035,3.2174891431219383,6.185279908904836,7.552616540111411,5.560247949149617,2.6923349282477043,1.6882397778290648,2.081140952587803,1.3599804456739937,7.710989060119283,1.9567356648261083,3.894784546467047,3.5585607625978706,5.02343530641003,4.440464578130424,7.948262288985794,5.9198960741256546,8.495335458102517,7.198195885486169,24.80863410705663,24.516369123236004,26.039820640403708,24.83057874584275,25.444230561872757,25.529350139706672,26.008324762655338
26,5.403574227912064,5.9993535403239555,7.7223701569028425,7.52568730775551,4.5603781963430166,3.663353717290503,7.989260629742085,3.1670288251346688,3.6699842059794863,6.32194483372526,4.730272240778808,6.554457913461647,3.4269029985109922,6.328864959036669,2.8654700316809296,2.3981370361473613,2.747669559828374,5.039119927007463,3.591474851119162,6.059214198985383,4.978801714330887,23.44051809443898,23.495888178834313,23.67961193408158,22.68649621822302,23.95818684206631,23.70861627252361,22.52627306695024
27,7.354516892463203,1.973669617799039,7.364070897355296,6.170378225483082,6.003905610928216,7.751677166296899,2.248661370954248,5.645313985052317,4.458204892442603,5.5445425713894005,4.745875202067968,2.634132140996222,3.396701828455477,6.4690873086070555,1.864830491388043,3.001848534697058,1.8976902341207689,5.542107322812529,1.7583607719370742,7.207026385346383,4.637199614958437,25.28706341619388,24.53791163462643,26.0041025959836,25.0366759269704,25.843145320613946,25.808607065625033,24.85327148339543
28,7.471248619593753,6.042407225591682,8.506108980904383,8.43214844690221,5.480787561817954,6.036836074534421,1.3682769096287408,2.542073646825242,6.727159558690171,7.0639293266960514,5.644564502581512,1.968343729978133,5.03941279640664,6.403272976020253,2.984396644956797,4.441887962267493,6.715123098041097,4.3652467637590755,1.8047170782363462,2.264298095940242,5.43879111905325,27.273843605552727,25.797066943716388,27.404293985285616,26.762672060973514,26.964811214525024,27.201841959211418,25.992165601675826
29,5.178674706393125,8.186683989967175,5.415823765166585,5.639633490669982,3.3627490453903732,0.9577468848923537,5.752463287505399,3.6973363961099732,6.477194978056169,6.1472901014527865,2.765046478708878,2.7537353267804288,5.9719233642625875,2.7373651406652924,5.453567244780258,5.582254953364517,5.68880363985517,5.636771113830376,6.214839404489204,6.181713666601648,1.07203828221656,23.98734187909716,23.105677649723315,23.434430447489316,23.666363640752717,24.30790529570941,24.276385335852158,23.253594067143364
30,5.932627612241545,6.138642446684092,3.2696067105723823,3.7297384497179,6.142522985507756,2.719710235639812,3.734404063491941,5.301259527341104,7.632916320318111,2.4497686069259985,1.7262225398516071,7.625300194328537,7.103315102068691,4.927585351769736,5.20754606103525,4.035239320453557,3.7114677705965677,7.040004367135343,3.4537365718367767,4.88622629597802,6.691644299256559,28.847839917763775,28.603722712125453,29.84459227247292,29.107260266301292,29.517583870361804,29.13665293540192,28.745769175617163
31,6.2502398641042225,2.3714116317570095,3.368815490635501,3.869795052148482,3.895691558500753,3.2852538690006345,8.706374307871126,1.2306540757200475,5.253089200820728,5.484075969529512,4.197486950260935,6.952877942896021,4.571053067380981,5.55803961746344,7.776862776334198,8.598302045935629,5.69517793335767,4.032220041603961,4.060604560005264,3.2253978393639255,6.370185073902846,24.161438904829335,23.50709214499815,23.85153246439231,23.634920219984206,24.290200574208086,25.19627899932648,23.577827552889495
32,7.373181615754387,6.155970940637714,3.9847402594120864,4.030459856684928,4.833835339701407,4.5587274024956415,7.870504042162939,2.3184326012705085,4.303948149248467,3.367895357796211,1.530781811587101,7.74060921080833,7.3508725357131794,5.115249653063534,5.556998052786784,7.339390909292574,5.822431571135995,7.977063741149033,3.54662616352565,3.826430438831682,2.0027987358671777,25.363105627051556,25.236946431595157,26.39880766642134,24.841185393019433,25.26046189073006,25.69618323899588,25.460567008916446
33,4.956161702584952,3.9261589319827706,3.99025411418139,3.9998442600978565,6.327942240913369,5.2952596468088275,7.940683622939744,1.5829429128717185,7.314474695249303,7.427505609627405,4.349519700271474,2.701181949009542,7.273796316002038,6.53612274838541,6.136527931925628,5.326955114554731,1.6712812022263825,5.118893818276588,2.344641360608196,2.407020573013883,5.20374989065009,26.720721478741112,25.81123703218662,26.822339927321522,26.116483652124643,27.149823962852455,27.501963005142514,26.27401254069735
